candidate_or_entity,provider,party,total_amount,transaction_count,num_committees
"TRUMP, DONALD J",WINRED,REP,309377694.27,8280,4
DNC / Democratic Party Infrastructure,ACTBLUE,DEM,138803391.02,8315,5
"HARRIS, KAMALA",ACTBLUE,DEM,76323700.95,2797,3
DNC / Democratic Party Infrastructure,NGP VAN,DEM,75889835.5,1727,3
"BIDEN, JOSEPH R JR",ACTBLUE,DEM,47391924.48,885,2
DNC / Democratic Party Infrastructure,EVERYACTION,DEM,22633945.69,524,4
DSCC (Senate Democrats),ACTBLUE,DEM,18469863.87,939,1
DCCC (House Democrats),ACTBLUE,DEM,15932673.88,2861,1
"TRUMP, DONALD J",ANEDOT,REP,13635857.41,705,3
"TRUMP, DONALD J",REVV,REP,5181294.98,247,2
"BIDEN, JOSEPH R JR",EVERYACTION,DEM,3677132.52,59,2
"HARRIS, KAMALA",NGP VAN,DEM,2613267.14,346,1
NRSC (Senate Republicans),WINRED,REP,1844340.77,300,1
NRSC (Senate Republicans),REVV,REP,1693423.07,530,1
"HARRIS, KAMALA",EVERYACTION,DEM,1658914.24,187,2
"CRUZ, TED",ANEDOT,REP,1131958.08,218,1
"MORENO, BERNIE",ANEDOT,REP,938716.47,94,1
"LAKE, KARI",ANEDOT,REP,655834.75,86,1
"RAMASWAMY, VIVEK",ANEDOT,REP,628111.15,22,1
"MALOY, CELESTE",ANEDOT,REP,615882.95,129,1
DSCC (Senate Democrats),EVERYACTION,DEM,586181.69,119,1
"SCOTT, RICK",ANEDOT,REP,585736.73,118,1
"ROGERS, MIKE",ANEDOT,REP,553642.91,184,1
"HOVDE, ERIC",ANEDOT,REP,496657.83,92,1
"SHEEHY, TIM",ANEDOT,REP,493375.16,194,1
"ROSENDALE, MATT",ANEDOT,REP,446243.01,91,1
"BIDEN, JOSEPH R JR",NGP VAN,DEM,432000.0,3,1
"BLACKBURN, MARSHA",ANEDOT,REP,405506.6,80,1
"MCCORMICK, DAVE",ANEDOT,REP,403496.52,79,1
"HAWLEY, JOSH",ANEDOT,REP,400765.06,107,1
HERSCHEL WALKER / GA CANDIDATE,ANEDOT,REP,400586.24,147,1
"BROWN, SAM",ANEDOT,REP,381670.57,28,1
UNKNOWN,ANEDOT,UNK,365127.54,81,1
"HOGAN, LARRY",ANEDOT,REP,364461.2,53,1
"HERRELL, YVETTE",ANEDOT,REP,329330.82,104,1
"GILL, BRANDON",ANEDOT,REP,302615.95,46,1
"DOMENICI, NELLA",ANEDOT,REP,294782.77,43,1
"HOSKINS, DENNY",ANEDOT,REP,285900.42,53,1
"FALLON, PAT",ANEDOT,REP,263466.58,141,1
"DE LA CRUZ, MONICA",ANEDOT,REP,263335.79,58,1
"SCHMIDT, DEREK",ANEDOT,REP,254174.84,55,1
"STAUBER, PETE",ANEDOT,REP,245185.01,83,1
"NEHLS, TROY",ANEDOT,REP,236958.28,112,1
"MOORE, BARRY",ANEDOT,REP,234649.38,156,1
"FRANKLIN, SCOTT",ANEDOT,REP,234146.27,86,1
"ANDERSON, DERRICK",ANEDOT,REP,222089.43,31,1
"LEE, LAUREL",ANEDOT,REP,220410.69,52,1
"MILLS, CORY",ANEDOT,REP,198534.33,90,1
"MAST, BRIAN",ANEDOT,REP,175234.88,673,1
"SALAZAR, MARIA",ANEDOT,REP,101519.74,19,1
"DONALDS, BYRON",ANEDOT,REP,99839.36,114,1
"WALTZ, MIKE",ANEDOT,REP,99653.96,42,1
"BILIRAKIS, GUS",ANEDOT,REP,96668.37,37,1
"LUNA, ANNA PAULINA",ANEDOT,REP,96268.61,35,1
"DESANTIS, RON",ANEDOT,REP,91946.05,44,1
"HAGERTY, BILL",ANEDOT,REP,91723.69,51,1
"JAMES, JOHN",ANEDOT,REP,90354.79,27,1
"HUNT, WESLEY",ANEDOT,REP,89163.54,305,1
"JACKSON, RONNY",ANEDOT,REP,88994.15,261,1
"WILLIAMS, ROGER",ANEDOT,REP,88908.52,83,1
"VAN ORDER, DERRICK",ANEDOT,REP,86600.28,158,1
"GREEN, MARK",ANEDOT,REP,85614.05,85,1
"GONZALES, TONY",ANEDOT,REP,84592.54,150,1
"SELF, KEITH",ANEDOT,REP,84234.08,132,1
"CISCOMANI, JUAN",ANEDOT,REP,83755.29,126,1
"LAWLER, MIKE",ANEDOT,REP,83076.49,195,1
"HINSON, ASHLEY",ANEDOT,REP,82753.09,82,1
"STRONG, DALE",ANEDOT,REP,82545.58,235,1
"KENNEDY, JOHN",ANEDOT,REP,82290.36,63,1
"HALEY, NIKKI",ANEDOT,REP,80097.62,24,1
"SCALISE, STEVE",ANEDOT,REP,79030.86,64,1
"WICKER, ROGER",ANEDOT,REP,78946.84,107,1
"NUNN, ZACH",ANEDOT,REP,78184.82,426,1
LOUIE GOHMERT / TX REP,ANEDOT,REP,76431.44,169,1
ACTBLUE (committee),EVERYACTION,DEM,40246.59,25,1
NRCC (House Republicans),REVV,REP,4816.81,1,1
