provider,category,party,committee_id,committee_name,committee_type,candidate,total_amount,transaction_count
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00703975,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,National Party,,27881910.04,366
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00703975,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,National Party,,20279505.37,125
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00744946,HARRIS VICTORY FUND,Joint Fundraising,"HARRIS, KAMALA",18613648.8,134
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00401224,BIDEN FOR PRESIDENT,Presidential,"BIDEN, JOSEPH R JR",12870000.0,1
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00401224,BIDEN FOR PRESIDENT,Presidential,"BIDEN, JOSEPH R JR",10000000.0,1
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00696948,HARRIS FOR PRESIDENT,Presidential,"HARRIS, KAMALA",7300821.3,302
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00736876,DSCC,Senatorial Committee,,6382106.02,184
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00042366,DNC SERVICES CORPORATION,National Party,,5493391.29,314
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00010603,DCCC,Congressional Committee,,5472001.2,948
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00718866,BIDEN VICTORY FUND,Joint Fundraising,"BIDEN, JOSEPH R JR",5295355.45,188
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00000935,DNC,National Party,,4936368.33,1170
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00744946,HARRIS VICTORY FUND,Joint Fundraising,"HARRIS, KAMALA",4735105.01,95
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00696153,DEMOCRATIC GRASSROOTS ONLINE,Joint Fundraising,,4683368.93,137
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00000935,DNC,National Party,,4647839.72,832
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00000935,DNC,National Party,,4543101.45,564
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00703975,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,National Party,,4376866.28,123
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00696948,HARRIS FOR PRESIDENT,Presidential,"HARRIS, KAMALA",3826506.42,161
